,MCF7,HEPG2,HT29,A375,PC3,YAPC,A549,HCC515
ABCC8,1.5360529002402097,0.0,0.1243281350022017,1.1699250014423124,0.0,0.632268215499513,0.6690267655096305,0.1243281350022017
CACNG3,0.0,0.0,0.0,0.0,0.0,0.0,0.01435529297707,0.0
TMEM132A,6.389222616355895,4.462706750670158,4.284662185483165,4.128458384146928,4.2720231890610485,4.762880292916999,5.081936081719432,4.577126661307052
AP2B1,5.454175893185801,5.066089190457771,6.7786028451432125,6.077029313819001,5.396090970394369,7.506446438154887,6.983335675247048,6.06177619758669
TAC1,0.0565835283663675,0.0,0.0426443374084937,3.689299160535892,0.0,0.0,0.0,0.0
ZNF263,4.674686619927999,4.651338766105932,4.997744026059632,4.175524601089875,3.7322691995014496,4.907852071845964,4.62993940943954,3.973611275519472
CX3CL1,0.01435529297707,6.173327349650988,0.4114262457264651,1.3785116232537298,0.0285691521967709,5.734167661150762,0.0565835283663675,0.0565835283663675
SPATA20,5.946964741155798,5.309976492370557,3.927896453728821,5.073820233291672,5.110613805500897,5.924099885640741,5.570766496527611,4.772413554748481
CACNA1G,0.0565835283663675,0.01435529297707,0.070389327891398,0.0426443374084937,0.0,0.8073549220576041,2.5459683691052923,0.1505596765753814
TNFRSF12A,6.7812285534681225,5.742814669862892,6.985044962253466,7.730300298460039,8.070550333978378,7.8774988727835344,7.7743258504868304,7.554281862626391
DLX6,0.0,2.2720231890610485,0.0,0.2141248053528473,0.01435529297707,1.063502942306158,0.0565835283663675,0.0565835283663675
MAP3K9,2.671293372481576,1.5558161550616396,2.2047667506546134,0.6959938131099002,2.250961573533219,2.4594316186372973,1.713695814843359,3.316145742293356
RALA,4.2509615735332185,4.04176864995163,4.975905273523699,5.214513410080016,4.835418840475481,5.113950482422504,4.5122268865139565,4.659924558402379
BAIAP2L1,3.414135532984451,3.460742563789644,5.051807107013298,4.287620044112066,3.989139007368233,5.993900755637419,5.580447019598664,5.992315251861196
KDM7A,1.5558161550616396,2.495695162624069,1.411426245726465,2.9068905956085187,0.6780719051126377,1.097610796626422,1.2078928516413328,1.1890338243900171
ETV1,0.0976107966264223,0.070389327891398,1.7824085649273729,5.139142019145688,3.3305584000308026,3.673556423990145,1.0908534304511135,2.0806576633452254
AGK,4.5453506448223004,4.191404728852763,4.5813512471687785,5.528258742758412,4.483493351284395,4.497612365618361,5.272396509037485,4.83844759254846
ALDH3B1,1.769771739249448,2.8155754288625725,5.348374075191163,3.0268000593437154,3.2585189247113013,5.247927513443585,5.427270935173586,8.322604199738082
TTC22,0.0285691521967709,0.0,3.3117937177536487,0.0,1.6461626571578936,2.7290088703378634,0.0,3.5223068928713888
PHTF2,4.078951341394822,2.1826922975161898,3.23112515787905,3.606442228131608,3.6158870739160567,3.839959587489532,4.203201156316611,4.116863757690899
CCL26,0.0840642647884745,0.1634987322828795,0.0,0.137503523749935,2.2357270598380583,0.0,2.8257856274647914,0.8479969065549499
FARP2,3.8479969065549504,3.970853654340484,4.930264245235024,5.0,3.14893410452634,4.210232990095848,3.910732661902913,3.33199177823206
USH1C,0.1110313123887439,0.0840642647884745,5.933572638261023,0.0,0.0565835283663675,0.4005379295837289,1.883620816285672,0.0426443374084937
GGCT,7.421896512042247,5.424922088210689,7.559491813205037,6.754219433135142,6.2650992875147375,6.942279901705763,6.382321407114501,6.029011086659068
DBF4,4.745237332129749,4.034743949324733,5.050936965225224,4.544114402209474,4.3840498067951605,4.734438666137168,4.972233123807389,4.656496370553495
TBXA2R,0.0,0.137503523749935,0.01435529297707,0.6780719051126377,1.0426443374084935,0.137503523749935,0.5459683691052926,0.1634987322828795
